Role,Skills,Category,AverageSalary,Location,DemandLevel
Digital Marketer,"Data Analysis,Git,UI Design,Scrum,TensorFlow,Rust,HTML,Node.js,Swift,Photoshop,Machine Learning",Design,₹39 LPA,Mumbai,Very High
Sales Executive,"Machine Learning,ASP.NET,Deep Learning,Computer Vision,PostgreSQL,Terraform,C#,Docker,Flask,Pandas,Linux,Tableau",IT/Software,₹27 LPA,San Francisco,Low
Backend Developer,"Kubernetes,PostgreSQL,Blockchain,Data Analysis,Photoshop,JavaScript",HR,₹54 LPA,Chennai,Medium
QA Engineer,"Machine Learning,Jenkins,Sketch",Business,₹45 LPA,New York,Medium
Customer Success Manager,"Node.js,AWS,TensorFlow,Penetration Testing,Machine Learning,Swift,PostgreSQL,Windows,Java,Express.js,Vue.js,C++",Business,₹17 LPA,Chennai,Medium
Scrum Master,"Kanban,JavaScript,Smart Contracts,MySQL,MongoDB,Confluence,Spring Boot,Penetration Testing,Tableau",Finance,₹10 LPA,New York,Very High
Graphic Designer,"Photoshop,Solidity,UX Design,Azure,TensorFlow,HTML",Finance,₹36 LPA,London,Medium
Site Reliability Engineer,"MacOS,C++,PyTorch,HTML,Terraform,TensorFlow,Bash,Ruby,Natural Language Processing",Marketing,₹30 LPA,Pune,Very High
Technical Writer,"Jenkins,Azure,Python,Agile,Jira,TensorFlow,PostgreSQL",Marketing,₹47 LPA,Delhi NCR,High
Operations Manager,"Windows,PostgreSQL,Bitbucket,Bash,Scrum,PHP",HR,₹29 LPA,San Francisco,Very High
Content Creator,"Scikit,Ansible,Windows,Adobe XD,Terraform",HR,₹32 LPA,Delhi NCR,Medium
Operations Manager,"Redis,Penetration Testing,Computer Vision",Data Science,₹48 LPA,San Francisco,Medium
Frontend Developer,"Sketch,Java,PostgreSQL,Bitbucket,Excel,TypeScript,Penetration Testing,MySQL",HR,₹27 LPA,Hyderabad,Medium
Data Engineer,"Node.js,Network Security,Data Analysis",Data Science,₹40 LPA,Mumbai,High
HR Manager,"MySQL,Java,UI Design,GitLab,Figma,Ansible,UX Design,Bash,TensorFlow,Adobe XD,Azure,Deep Learning",HR,₹4 LPA,Remote,High
Graphic Designer,"Kotlin,Angular,PostgreSQL",Finance,₹10 LPA,London,Low
Frontend Developer,"Windows,Django,Machine Learning,Elasticsearch,SQL,UX Design,Figma,PowerShell,Data Analysis,Terraform,Google Cloud,Solidity",Marketing,₹47 LPA,New York,Very High
Customer Success Manager,"Scikit,Excel,Terraform,Ethereum,Kanban,Illustrator,AWS,SQL,Kubernetes,Bitbucket,Kotlin",Data Science,₹41 LPA,Bangalore,Very High
Digital Marketer,"MacOS,Machine Learning,Windows,Node.js,React,Google Cloud,Tableau,SQL",Marketing,₹35 LPA,Mumbai,Very High
Software Engineer,"Swift,Machine Learning,Computer Vision,Ethereum,Google Cloud,Natural Language Processing",IT/Software,₹54 LPA,Delhi NCR,Very High
Operations Manager,"Blockchain,NumPy,Illustrator,Deep Learning,React,AWS,Linux,Ruby on Rails,PHP,Rust,Photoshop",Business,₹6 LPA,London,High
Video Editor,"Blockchain,C#,HTML,Network Security,PHP,Ansible,UX Design",Data Science,₹27 LPA,Bangalore,Very High
Software Engineer,"PyTorch,Bash,Data Visualization,ASP.NET,Photoshop,Angular",Marketing,₹23 LPA,New York,Low
Machine Learning Engineer,"Node.js,Azure,Elasticsearch,Scrum,NumPy,Django,Network Security,Vue.js,Cybersecurity",Operations,₹24 LPA,San Francisco,Very High
Site Reliability Engineer,"Scikit,Deep Learning,C++,PowerShell,Node.js,Confluence,NoSQL,Computer Vision,Sketch,MySQL,Google Cloud,Pandas",Design,₹51 LPA,New York,High
Data Scientist,"Linux,Pandas,Ruby,Ruby on Rails,Java,ASP.NET,Cybersecurity,PHP,Blockchain,TensorFlow,PyTorch,MongoDB",Marketing,₹8 LPA,Pune,Very High
Network Engineer,"Express.js,Figma,Tableau,Go,MongoDB,Bash,NoSQL,Scrum,UX Design,Node.js,Redis",Finance,₹51 LPA,Mumbai,Low
Frontend Developer,"Kubernetes,TypeScript,C++",Marketing,₹27 LPA,Mumbai,Very High
Full Stack Developer,"Agile,Deep Learning,Docker,Power BI,Terraform,Data Analysis,TypeScript,Kubernetes",Operations,₹20 LPA,Pune,Low
System Administrator,"Cybersecurity,Blockchain,CSS,Angular,Ruby on Rails,Vue.js,Spring Boot,Ruby,Data Visualization,C++",Marketing,₹13 LPA,Remote,Very High
Video Editor,"Adobe XD,Bitbucket,Docker,Jira,Illustrator,UI Design,Figma",Operations,₹4 LPA,San Francisco,Very High
Sales Executive,"PHP,MacOS,Swift,Rust,GitHub,Java,PowerShell,Figma,Ethereum",Marketing,₹47 LPA,Remote,Medium
Software Engineer,"MongoDB,Power BI,React,Computer Vision",Design,₹54 LPA,Delhi NCR,High
Database Administrator,"NumPy,Ruby on Rails,Power BI,Swift,Spring Boot,Adobe XD,Agile,Data Analysis,Node.js,CSS",Operations,₹43 LPA,London,High
Backend Developer,"Penetration Testing,Power BI,MongoDB,C++,Ethereum",Finance,₹18 LPA,Pune,Very High
Business Analyst,"Azure,Kotlin,Go,CSS,Network Security,Python",Data Science,₹8 LPA,Remote,Very High
Database Administrator,"Vue.js,Kubernetes,Google Cloud,Natural Language Processing,Jira",IT/Software,₹26 LPA,Delhi NCR,Low
Graphic Designer,"Ansible,Bash,PowerShell,Machine Learning,NoSQL,Ruby on Rails,PHP,Sketch",Marketing,₹23 LPA,Remote,Low
Operations Manager,"Data Analysis,Deep Learning,ASP.NET,Bash,Tableau,Google Cloud,NumPy",Marketing,₹25 LPA,Bangalore,Medium
Mobile App Developer,"Vue.js,Rust,PyTorch,Solidity,Pandas,Git",HR,₹35 LPA,Hyderabad,Medium
IT Support Specialist,"UX Design,Express.js,Elasticsearch,Google Cloud,Scrum,PowerShell",HR,₹50 LPA,Hyderabad,Very High
Technical Recruiter,"C#,Smart Contracts,Adobe XD,Power BI,Vue.js",Design,₹5 LPA,Remote,Low
Legal Advisor,"Scrum,Git,TypeScript,PyTorch,MySQL,HTML",Marketing,₹20 LPA,London,Medium
Software Engineer,"PostgreSQL,Figma,Node.js,Illustrator,C++,Natural Language Processing,CSS",Marketing,₹37 LPA,San Francisco,Medium
Data Engineer,"Confluence,SQL,Tableau,Git,Agile,Spring Boot,Photoshop",Business,₹23 LPA,Delhi NCR,Medium
Security Analyst,"Bitbucket,ASP.NET,MacOS,PyTorch,Redis,Data Analysis,Tableau,Agile,MySQL",Design,₹44 LPA,Hyderabad,High
Operations Manager,"GitHub,CSS,Kotlin",Finance,₹46 LPA,London,Very High
IT Support Specialist,"PyTorch,Kotlin,ASP.NET,GitLab",Operations,₹8 LPA,Delhi NCR,Very High
Blockchain Developer,"GitLab,Blockchain,React,Linux,Node.js,Terraform",Business,₹47 LPA,London,Medium
Network Engineer,"C++,Bitbucket,Angular,Kanban,Power BI,Ruby on Rails,Rust",Data Science,₹42 LPA,London,Low
Sales Executive,"Scikit,Solidity,TensorFlow,Tableau,Ruby on Rails,Go,Terraform",Design,₹16 LPA,Remote,High
Game Developer,"Smart Contracts,Kanban,CSS,SQL,Jira,Tableau,Data Visualization",Data Science,₹12 LPA,Mumbai,Medium
IT Support Specialist,"TensorFlow,PyTorch,Figma,Git,Network Security",HR,₹14 LPA,New York,Medium
UI/UX Designer,"Machine Learning,ASP.NET,Solidity,Azure,Kanban,Git",Data Science,₹31 LPA,London,Medium
Technical Recruiter,"Bash,SQL,Computer Vision,Docker,C#,GitHub",HR,₹34 LPA,San Francisco,Medium
Data Scientist,"Data Analysis,Agile,Natural Language Processing,TypeScript,Excel,CSS,Bitbucket,Scrum,Python,PyTorch,Penetration Testing,Bash",Operations,₹39 LPA,Hyderabad,High
Cloud Architect,"MacOS,Computer Vision,Bash,TensorFlow,Adobe XD,Azure,MySQL,Git,Python,TypeScript",Business,₹43 LPA,Pune,High
QA Engineer,"SQL,Network Security,Kubernetes,Scikit,Scrum,Figma,Jenkins,Machine Learning,Angular,Data Visualization,Rust",Business,₹12 LPA,Pune,Low
Data Scientist,"GitHub,TypeScript,CSS,C#,Bash,Pandas,Ruby on Rails",HR,₹23 LPA,San Francisco,Low
Security Analyst,"SQL,HTML,Photoshop,Adobe XD",Operations,₹54 LPA,London,Very High
Software Engineer,"C#,Node.js,Express.js,PHP,HTML",Operations,₹45 LPA,Remote,Very High
Content Creator,"Cryptography,Illustrator,Angular,Smart Contracts,Bash,Photoshop,Natural Language Processing,Data Analysis,GitLab",Finance,₹4 LPA,Bangalore,Very High
Software Engineer,"Ruby on Rails,Penetration Testing,Illustrator,Cryptography",Marketing,₹10 LPA,Pune,Medium
Security Analyst,"CSS,MongoDB,Confluence,Excel,Django,GitLab,Go,Adobe XD,PostgreSQL,TensorFlow,Computer Vision",IT/Software,₹26 LPA,Remote,Low
DevOps Engineer,"Illustrator,TensorFlow,ASP.NET,Confluence,PyTorch",Design,₹50 LPA,London,Medium
QA Engineer,"PostgreSQL,Deep Learning,Adobe XD,Pandas",Data Science,₹22 LPA,Chennai,High
Frontend Developer,"Express.js,Docker,Smart Contracts",Design,₹36 LPA,New York,High
Security Analyst,"Adobe XD,C++,MacOS,Vue.js,Deep Learning,PowerShell,Figma,Agile,Tableau,Illustrator,Azure",IT/Software,₹18 LPA,Bangalore,Low
Product Manager,"GitLab,UX Design,Figma",Operations,₹29 LPA,Pune,Medium
Customer Success Manager,"Ethereum,Sketch,MySQL,Cryptography,Redis,PowerShell,Excel,Solidity",Design,₹39 LPA,Pune,Medium
Sales Executive,"Deep Learning,Azure,PyTorch,NumPy,Penetration Testing,C++",Business,₹12 LPA,London,Medium
Backend Developer,"Python,Illustrator,Bitbucket,Bash",Data Science,₹44 LPA,Remote,Very High
Technical Writer,"Excel,Tableau,GitLab,MacOS,Express.js,Natural Language Processing,Illustrator",IT/Software,₹17 LPA,Chennai,Medium
UI/UX Designer,"Angular,Confluence,NumPy",Marketing,₹8 LPA,London,Medium
Blockchain Developer,"Natural Language Processing,Adobe XD,React,Confluence,Data Visualization,ASP.NET,MySQL,UI Design,Java,Go,Scikit,Elasticsearch",HR,₹16 LPA,Delhi NCR,High
QA Engineer,"Ethereum,Elasticsearch,MySQL,Kanban,UI Design,Photoshop,Java,Jira,PyTorch,Python",HR,₹38 LPA,Hyderabad,Very High
Data Analyst,"Go,ASP.NET,Tableau,Agile,Bitbucket,Google Cloud,Network Security,NumPy",Design,₹13 LPA,London,Low
Customer Success Manager,"NumPy,Kotlin,Linux,SQL,GitLab,Azure,Rust,Redis,Angular,Scikit,Natural Language Processing",Data Science,₹54 LPA,Pune,Very High
DevOps Engineer,"Power BI,PowerShell,Adobe XD,MacOS,Agile,JavaScript,MongoDB,HTML,PHP,NoSQL",IT/Software,₹25 LPA,Remote,High
Scrum Master,"Agile,Vue.js,Deep Learning",Marketing,₹41 LPA,Mumbai,Low
Backend Developer,"Cybersecurity,Network Security,MySQL,GitLab,Adobe XD,Jira,Natural Language Processing,NumPy,Linux,Excel",Marketing,₹23 LPA,San Francisco,Medium
Video Editor,"PostgreSQL,Node.js,UI Design,Flask,Docker,MacOS,Pandas",Finance,₹4 LPA,Mumbai,High
