Role,Skill,Roadmap_Steps
SEO Specialist,GitLab,"[""Days 1-15: GitLab Fundamentals for SEO Specialist"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
AI Researcher,Google Cloud,"[""Days 1-15: Google Cloud Fundamentals for AI Researcher"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Security Analyst,Angular,"[""Days 1-15: Angular Fundamentals for Security Analyst"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Accountant,Spring Boot,"[""Days 1-15: Spring Boot Fundamentals for Accountant"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Digital Marketer,Elasticsearch,"[""Days 1-15: Elasticsearch Fundamentals for Digital Marketer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Operations Manager,Cryptography,"[""Days 1-15: Cryptography Fundamentals for Operations Manager"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Legal Advisor,Go,"[""Days 1-15: Go Fundamentals for Legal Advisor"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Digital Marketer,Photoshop,"[""Days 1-15: Photoshop Fundamentals for Digital Marketer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Financial Analyst,Bitbucket,"[""Days 1-15: Bitbucket Fundamentals for Financial Analyst"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Network Engineer,TensorFlow,"[""Days 1-15: TensorFlow Fundamentals for Network Engineer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Digital Marketer,Network Security,"[""Days 1-15: Network Security Fundamentals for Digital Marketer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Network Engineer,Node.js,"[""Days 1-15: Node.js Fundamentals for Network Engineer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Full Stack Developer,UX Design,"[""Days 1-15: UX Design Fundamentals for Full Stack Developer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Marketing Specialist,MacOS,"[""Days 1-15: MacOS Fundamentals for Marketing Specialist"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Full Stack Developer,Angular,"[""Days 1-15: Angular Fundamentals for Full Stack Developer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
IT Support Specialist,Scikit,"[""Days 1-15: Scikit Fundamentals for IT Support Specialist"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Database Administrator,Deep Learning,"[""Days 1-15: Deep Learning Fundamentals for Database Administrator"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Full Stack Developer,Go,"[""Days 1-15: Go Fundamentals for Full Stack Developer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Operations Manager,SQL,"[""Days 1-15: SQL Fundamentals for Operations Manager"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
DevOps Engineer,Jira,"[""Days 1-15: Jira Fundamentals for DevOps Engineer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Data Analyst,Git,"[""Days 1-15: Git Fundamentals for Data Analyst"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Operations Manager,PostgreSQL,"[""Days 1-15: PostgreSQL Fundamentals for Operations Manager"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Customer Success Manager,Scikit,"[""Days 1-15: Scikit Fundamentals for Customer Success Manager"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
QA Engineer,MacOS,"[""Days 1-15: MacOS Fundamentals for QA Engineer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Frontend Developer,JavaScript,"[""Days 1-15: JavaScript Fundamentals for Frontend Developer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Data Analyst,Kubernetes,"[""Days 1-15: Kubernetes Fundamentals for Data Analyst"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Data Engineer,Git,"[""Days 1-15: Git Fundamentals for Data Engineer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
System Administrator,Cybersecurity,"[""Days 1-15: Cybersecurity Fundamentals for System Administrator"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Operations Manager,C++,"[""Days 1-15: C++ Fundamentals for Operations Manager"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
IT Support Specialist,SQL,"[""Days 1-15: SQL Fundamentals for IT Support Specialist"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Digital Marketer,Kubernetes,"[""Days 1-15: Kubernetes Fundamentals for Digital Marketer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
HR Manager,HTML,"[""Days 1-15: HTML Fundamentals for HR Manager"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Technical Recruiter,Smart Contracts,"[""Days 1-15: Smart Contracts Fundamentals for Technical Recruiter"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
IT Support Specialist,Cybersecurity,"[""Days 1-15: Cybersecurity Fundamentals for IT Support Specialist"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Mobile App Developer,Scrum,"[""Days 1-15: Scrum Fundamentals for Mobile App Developer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Software Engineer,PostgreSQL,"[""Days 1-15: PostgreSQL Fundamentals for Software Engineer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
QA Engineer,PostgreSQL,"[""Days 1-15: PostgreSQL Fundamentals for QA Engineer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Blockchain Developer,GitHub,"[""Days 1-15: GitHub Fundamentals for Blockchain Developer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
System Administrator,Flask,"[""Days 1-15: Flask Fundamentals for System Administrator"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Financial Analyst,Photoshop,"[""Days 1-15: Photoshop Fundamentals for Financial Analyst"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
HR Manager,Computer Vision,"[""Days 1-15: Computer Vision Fundamentals for HR Manager"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Accountant,Tableau,"[""Days 1-15: Tableau Fundamentals for Accountant"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Digital Marketer,Data Analysis,"[""Days 1-15: Data Analysis Fundamentals for Digital Marketer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Scrum Master,Tableau,"[""Days 1-15: Tableau Fundamentals for Scrum Master"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Content Creator,Git,"[""Days 1-15: Git Fundamentals for Content Creator"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Sales Executive,Docker,"[""Days 1-15: Docker Fundamentals for Sales Executive"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
IT Support Specialist,Go,"[""Days 1-15: Go Fundamentals for IT Support Specialist"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Security Analyst,CSS,"[""Days 1-15: CSS Fundamentals for Security Analyst"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
DevOps Engineer,AWS,"[""Days 1-15: AWS Fundamentals for DevOps Engineer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
AI Researcher,MongoDB,"[""Days 1-15: MongoDB Fundamentals for AI Researcher"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Technical Recruiter,Ruby on Rails,"[""Days 1-15: Ruby on Rails Fundamentals for Technical Recruiter"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Database Administrator,Adobe XD,"[""Days 1-15: Adobe XD Fundamentals for Database Administrator"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Database Administrator,Natural Language Processing,"[""Days 1-15: Natural Language Processing Fundamentals for Database Administrator"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Network Engineer,Penetration Testing,"[""Days 1-15: Penetration Testing Fundamentals for Network Engineer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Content Creator,SQL,"[""Days 1-15: SQL Fundamentals for Content Creator"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Site Reliability Engineer,Flask,"[""Days 1-15: Flask Fundamentals for Site Reliability Engineer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Software Engineer,Tableau,"[""Days 1-15: Tableau Fundamentals for Software Engineer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Technical Writer,Photoshop,"[""Days 1-15: Photoshop Fundamentals for Technical Writer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Scrum Master,Kanban,"[""Days 1-15: Kanban Fundamentals for Scrum Master"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Legal Advisor,MacOS,"[""Days 1-15: MacOS Fundamentals for Legal Advisor"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Data Scientist,PyTorch,"[""Days 1-15: PyTorch Fundamentals for Data Scientist"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Product Manager,MongoDB,"[""Days 1-15: MongoDB Fundamentals for Product Manager"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Data Engineer,Angular,"[""Days 1-15: Angular Fundamentals for Data Engineer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Backend Developer,Cybersecurity,"[""Days 1-15: Cybersecurity Fundamentals for Backend Developer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Security Analyst,JavaScript,"[""Days 1-15: JavaScript Fundamentals for Security Analyst"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Cloud Architect,Data Analysis,"[""Days 1-15: Data Analysis Fundamentals for Cloud Architect"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Backend Developer,Excel,"[""Days 1-15: Excel Fundamentals for Backend Developer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Data Engineer,PHP,"[""Days 1-15: PHP Fundamentals for Data Engineer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Graphic Designer,Express.js,"[""Days 1-15: Express.js Fundamentals for Graphic Designer"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
Security Analyst,NumPy,"[""Days 1-15: NumPy Fundamentals for Security Analyst"", ""Days 16-30: Core logic"", ""Days 31-60: Advanced Patterns"", ""Days 61-90: Deployment""]"
